Titolo, Autore, Anno
1984, George Orwell, 1949
Il Signore degli Anelli, J.R.R. Tolkien, 1954
Cronache di Narnia, C.S. Lewis, 1950
Orgoglio e Pregiudizio, Jane Austen, 1813
To Kill a Mockingbird, Harper Lee, 1960
Harry Potter e la Pietra Filosofale, J.K. Rowling, 1997
Il Grande Gatsby, F. Scott Fitzgerald, 1925
Guerra e Pace, Lev Tolstoj, 1869
Il Nome della Rosa, Umberto Eco, 1980
Piccole Donne, Louisa May Alcott, 1868
Il Piccolo Principe, Antoine de Saint-Exupéry, 1943
La Metamorfosi, Franz Kafka, 1915
La Divina Commedia, Dante Alighieri, 1320
Crime and Punishment, Fëdor Dostoevskij, 1866
Lo Hobbit, J.R.R. Tolkien, 1937
Il Rosso e il Nero, Stendhal, 1830
Anna Karenina, Lev Tolstoj, 1877
Dracula, Bram Stoker, 1897
Il Conte di Montecristo, Alexandre Dumas, 1844
Cuore, Edmondo De Amicis, 1886
La Caduta dei Giganti, Ken Follett, 2010
Il Codice da Vinci, Dan Brown, 2003
La Ragazza con il Drago Tattoo, Stieg Larsson, 2005
Cent'anni di Solitudine, Gabriel García Márquez, 1967
Il Signore delle Mosche, William Golding, 1954
Harry Potter e i Doni della Morte, J.K. Rowling, 2007
Lo Straniero, Albert Camus, 1942
La Lunga Terra, Terry Pratchett e Stephen Baxter, 2012
La Storia Infinita, Michael Ende, 1979
La Città e le Stelle, Arthur C. Clarke, 1956
Le Avventure di Sherlock Holmes, Arthur Conan Doyle, 1892
Il Gattopardo, Giuseppe Tomasi di Lampedusa, 1958
